raw_input,expected_degree,predicted_degree,expected_field,predicted_field,status,layer_used,confidence,fuzzy_score,error_category
Indian BCAHONS (Hons),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian BCAHONS with Honours,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BCAHONS,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BCAHONS degree,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BCAHONS qualification,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BCAHONS (India),Bachelor of Computer Applications,,,,review_needed,L3,0.35,35.0,wrong_degree
India BCAHONS (IN),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BCAHONS (3-4 years),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BCAHONS (Hons),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BCAHONS with Honours,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN BCAHONS,Bachelor of Computer Applications,Bachelor of Arts,,,fuzzy_matched,L2,0.9231,92.3,wrong_degree
IN BCAHONS degree,Bachelor of Computer Applications,,,,review_needed,L3,0.35,35.0,wrong_degree
IN BCAHONS qualification,Bachelor of Computer Applications,,,,review_needed,L3,0.35,35.0,wrong_degree
IN BCAHONS (India),Bachelor of Computer Applications,Bachelor of Arts,,,fuzzy_matched,L2,0.9231,92.3,wrong_degree
IN BCAHONS (IN),Bachelor of Computer Applications,Bachelor of Arts,,,fuzzy_matched,L2,0.9231,92.3,wrong_degree
IN BCAHONS (3-4 years),Bachelor of Computer Applications,Bachelor of Arts,,,fuzzy_matched,L2,0.9231,92.3,wrong_degree
IN BCAHONS (Hons),Bachelor of Computer Applications,Bachelor of Arts,,,fuzzy_matched,L2,0.9231,92.3,wrong_degree
IN BCAHONS with Honours,Bachelor of Computer Applications,,,,review_needed,L3,0.35,35.0,wrong_degree
B.C.A. (Hons) qualification,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.C.A. (Hons) with Honours,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B.C.A. (Hons) degree,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B.C.A. (Hons) qualification,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B.C.A. (Hons) (India),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B.C.A. (Hons) (IN),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B.C.A. (Hons) (3-4 years),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B.C.A. (Hons) (Hons),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B.C.A. (Hons) with Honours,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B.C.A. (Hons) degree,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B.C.A. (Hons) qualification,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B.C.A. (Hons) (India),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B.C.A. (Hons) (IN),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B.C.A. (Hons) (3-4 years),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B.C.A. (Hons) (Hons),Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B.C.A. (Hons) with Honours,Bachelor of Computer Applications,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN B.C.A. (Hons) degree,Bachelor of Computer Applications,,,,review_needed,L3,0.35,35.0,wrong_degree
IN B.C.A. (Hons) qualification,Bachelor of Computer Applications,,,,review_needed,L3,0.35,35.0,wrong_degree
IN B.C.A. (Hons) with Honours,Bachelor of Computer Applications,,,,review_needed,L3,0.35,35.0,wrong_degree
B E qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B E with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E (India),Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian B E (IN),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E (3-4 years),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E (Hons),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E (India),Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
India B E (IN),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E (3-4 years),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E (Hons),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN B E degree,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN B E qualification,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN B E with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Tecnology of Engineering,Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7869,78.7,wrong_degree
Tecnology of Engineering degree,Bachelor of Engineering,Bachelor of Technology,,,review_needed,L2,0.7733,77.3,wrong_degree
Tecnology of Engineering qualification,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7654,76.5,wrong_degree
Tecnology of Engineering (India),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7869,78.7,wrong_degree
Tecnology of Engineering (IN),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7869,78.7,wrong_degree
Tecnology of Engineering (3-4 years),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7869,78.7,wrong_degree
Tecnology of Engineering (Hons),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7869,78.7,wrong_degree
Tecnology of Engineering with Honours,Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7568,75.7,wrong_degree
Indian Tecnology of Engineering,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8286,82.9,wrong_degree
Indian Tecnology of Engineering degree,Bachelor of Engineering,Bachelor of Technology,,,review_needed,L2,0.8101,81.0,wrong_degree
Indian Tecnology of Engineering qualification,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.75,75.0,wrong_degree
Indian Tecnology of Engineering (India),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8286,82.9,wrong_degree
Indian Tecnology of Engineering (IN),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8286,82.9,wrong_degree
Indian Tecnology of Engineering (3-4 years),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8286,82.9,wrong_degree
Indian Tecnology of Engineering (Hons),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8286,82.9,wrong_degree
Indian Tecnology of Engineering with Honours,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.747,74.7,wrong_degree
India Tecnology of Engineering,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8116,81.2,wrong_degree
India Tecnology of Engineering degree,Bachelor of Engineering,Bachelor of Technology,,,review_needed,L2,0.7949,79.5,wrong_degree
India Tecnology of Engineering qualification,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7586,75.9,wrong_degree
India Tecnology of Engineering (India),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8116,81.2,wrong_degree
India Tecnology of Engineering (IN),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8116,81.2,wrong_degree
India Tecnology of Engineering (3-4 years),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8116,81.2,wrong_degree
India Tecnology of Engineering (Hons),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8116,81.2,wrong_degree
India Tecnology of Engineering with Honours,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7317,73.2,wrong_degree
IN Tecnology of Engineering,Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7869,78.7,wrong_degree
IN Tecnology of Engineering degree,Bachelor of Engineering,Bachelor of Technology,,,review_needed,L2,0.7733,77.3,wrong_degree
IN Tecnology of Engineering qualification,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7654,76.5,wrong_degree
IN Tecnology of Engineering (India),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7869,78.7,wrong_degree
IN Tecnology of Engineering (IN),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7869,78.7,wrong_degree
IN Tecnology of Engineering (3-4 years),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7869,78.7,wrong_degree
IN Tecnology of Engineering (Hons),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7869,78.7,wrong_degree
IN Tecnology of Engineering with Honours,Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7568,75.7,wrong_degree
B. E. (Hons) qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B. E. (Hons) with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B. E. (Hons) degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B. E. (Hons) qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B. E. (Hons) (India),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B. E. (Hons) (IN),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B. E. (Hons) (3-4 years),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B. E. (Hons) (Hons),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B. E. (Hons) with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B. E. (Hons) degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B. E. (Hons) qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B. E. (Hons) (India),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B. E. (Hons) (IN),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B. E. (Hons) (3-4 years),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B. E. (Hons) (Hons),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B. E. (Hons) with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN B. E. (Hons) degree,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN B. E. (Hons) qualification,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN B. E. (Hons) with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Engg of Engineering degree,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7636,76.4,wrong_degree
Engg of Engineering qualification,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.75,75.0,wrong_degree
Engg of Engineering with Honours,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7091,70.9,wrong_degree
Indian Engg of Engineering,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7925,79.2,wrong_degree
Indian Engg of Engineering degree,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7667,76.7,wrong_degree
Indian Engg of Engineering qualification,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.731,73.1,wrong_degree
Indian Engg of Engineering (India),Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7925,79.2,wrong_degree
Indian Engg of Engineering (IN),Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7925,79.2,wrong_degree
Indian Engg of Engineering (3-4 years),Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7925,79.2,wrong_degree
Indian Engg of Engineering (Hons),Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7925,79.2,wrong_degree
Indian Engg of Engineering with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
India Engg of Engineering,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7765,77.7,wrong_degree
India Engg of Engineering degree,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7458,74.6,wrong_degree
India Engg of Engineering qualification,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7414,74.1,wrong_degree
India Engg of Engineering (India),Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7765,77.7,wrong_degree
India Engg of Engineering (IN),Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7765,77.7,wrong_degree
India Engg of Engineering (3-4 years),Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7765,77.7,wrong_degree
India Engg of Engineering (Hons),Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7765,77.7,wrong_degree
India Engg of Engineering with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN Engg of Engineering degree,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7636,76.4,wrong_degree
IN Engg of Engineering qualification,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.75,75.0,wrong_degree
IN Engg of Engineering with Honours,Bachelor of Engineering,Diploma in Engineering,,,review_needed,L2,0.7091,70.9,wrong_degree
Indian BENGHONS,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian BENGHONS degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian BENGHONS qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian BENGHONS (India),Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian BENGHONS (IN),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian BENGHONS (3-4 years),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian BENGHONS (Hons),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian BENGHONS with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BENGHONS,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BENGHONS degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BENGHONS qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BENGHONS (India),Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
India BENGHONS (IN),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BENGHONS (3-4 years),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BENGHONS (Hons),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BENGHONS with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN BENGHONS degree,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN BENGHONS qualification,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN BENGHONS with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian BachelerofEngineering qualification,Bachelor of Engineering,Bachelor of Science,,,review_needed,L3,0.5,50.0,wrong_degree
Indian B E N G,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E N G degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E N G qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E N G (India),Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian B E N G (IN),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E N G (3-4 years),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E N G (Hons),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B E N G with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E N G,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E N G degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E N G qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E N G (India),Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
India B E N G (IN),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E N G (3-4 years),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E N G (Hons),Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B E N G with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN B E N G degree,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN B E N G qualification,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN B E N G with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
BEHONS qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BEHONS with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian BEHONS degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian BEHONS qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian BEHONS with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BEHONS degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BEHONS qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India BEHONS with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN BEHONS qualification,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN BEHONS with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Enginering of Engineering,Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7843,78.4,wrong_degree
Enginering of Engineering qualification,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Enginering of Engineering (India),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7843,78.4,wrong_degree
Enginering of Engineering (IN),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7843,78.4,wrong_degree
Enginering of Engineering (3-4 years),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7843,78.4,wrong_degree
Enginering of Engineering (Hons),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7843,78.4,wrong_degree
Enginering of Engineering with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian Enginering of Engineering qualification,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian Enginering of Engineering with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
India Enginering of Engineering qualification,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
India Enginering of Engineering with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN Enginering of Engineering,Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7843,78.4,wrong_degree
IN Enginering of Engineering qualification,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN Enginering of Engineering (India),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7843,78.4,wrong_degree
IN Enginering of Engineering (IN),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7843,78.4,wrong_degree
IN Enginering of Engineering (3-4 years),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7843,78.4,wrong_degree
IN Enginering of Engineering (Hons),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7843,78.4,wrong_degree
IN Enginering of Engineering with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Tecnolgy of Engineering,Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7667,76.7,wrong_degree
Tecnolgy of Engineering degree,Bachelor of Engineering,Bachelor of Technology,,,review_needed,L2,0.7568,75.7,wrong_degree
Tecnolgy of Engineering qualification,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.75,75.0,wrong_degree
Tecnolgy of Engineering (India),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7667,76.7,wrong_degree
Tecnolgy of Engineering (IN),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7667,76.7,wrong_degree
Tecnolgy of Engineering (3-4 years),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7667,76.7,wrong_degree
Tecnolgy of Engineering (Hons),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7667,76.7,wrong_degree
Tecnolgy of Engineering with Honours,Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7397,74.0,wrong_degree
Indian Tecnolgy of Engineering,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8116,81.2,wrong_degree
Indian Tecnolgy of Engineering degree,Bachelor of Engineering,Bachelor of Technology,,,review_needed,L2,0.7949,79.5,wrong_degree
Indian Tecnolgy of Engineering qualification,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7356,73.6,wrong_degree
Indian Tecnolgy of Engineering (India),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8116,81.2,wrong_degree
Indian Tecnolgy of Engineering (IN),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8116,81.2,wrong_degree
Indian Tecnolgy of Engineering (3-4 years),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8116,81.2,wrong_degree
Indian Tecnolgy of Engineering (Hons),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.8116,81.2,wrong_degree
Indian Tecnolgy of Engineering with Honours,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7317,73.2,wrong_degree
India Tecnolgy of Engineering,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7941,79.4,wrong_degree
India Tecnolgy of Engineering degree,Bachelor of Engineering,Bachelor of Technology,,,review_needed,L2,0.7792,77.9,wrong_degree
India Tecnolgy of Engineering qualification,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7442,74.4,wrong_degree
India Tecnolgy of Engineering (India),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7941,79.4,wrong_degree
India Tecnolgy of Engineering (IN),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7941,79.4,wrong_degree
India Tecnolgy of Engineering (3-4 years),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7941,79.4,wrong_degree
India Tecnolgy of Engineering (Hons),Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.7941,79.4,wrong_degree
India Tecnolgy of Engineering with Honours,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.716,71.6,wrong_degree
IN Tecnolgy of Engineering,Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7667,76.7,wrong_degree
IN Tecnolgy of Engineering degree,Bachelor of Engineering,Bachelor of Technology,,,review_needed,L2,0.7568,75.7,wrong_degree
IN Tecnolgy of Engineering qualification,Bachelor of Engineering,Master of Technology,,,review_needed,L2,0.75,75.0,wrong_degree
IN Tecnolgy of Engineering (India),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7667,76.7,wrong_degree
IN Tecnolgy of Engineering (IN),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7667,76.7,wrong_degree
IN Tecnolgy of Engineering (3-4 years),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7667,76.7,wrong_degree
IN Tecnolgy of Engineering (Hons),Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7667,76.7,wrong_degree
IN Tecnolgy of Engineering with Honours,Bachelor of Engineering,Master of Engineering,,,review_needed,L2,0.7397,74.0,wrong_degree
B Eng qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B Eng with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B Eng degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B Eng qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian B Eng with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B Eng degree,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B Eng qualification,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India B Eng with Honours,Bachelor of Engineering,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN B Eng qualification,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
IN B Eng with Honours,Bachelor of Engineering,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian BachelorofEngineering with Honours,Bachelor of Engineering,Bachelor of Science,,,review_needed,L3,0.5,50.0,wrong_degree
